SampleID,path,Label,Set,tissue,assay_type,newpath
EE86085,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86085.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86085.hg19.frag.tsv
EE86086,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86086.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86086.hg19.frag.tsv
EE86087,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86087.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86087.hg19.frag.tsv
EE86088,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86088.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86088.hg19.frag.tsv
EE86089,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86089.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86089.hg19.frag.tsv
EE86090,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86090.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86090.hg19.frag.tsv
EE86091,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86091.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86091.hg19.frag.tsv
EE86092,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86092.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86092.hg19.frag.tsv
EE86093,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86093.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86093.hg19.frag.tsv
EE86094,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86094.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86094.hg19.frag.tsv
EE86095,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86095.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86095.hg19.frag.tsv
EE86096,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86096.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86096.hg19.frag.tsv
EE86097,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86097.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86097.hg19.frag.tsv
EE86098,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86098.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86098.hg19.frag.tsv
EE86099,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86099.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86099.hg19.frag.tsv
EE86100,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86100.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86100.hg19.frag.tsv
EE86101,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86101.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86101.hg19.frag.tsv
EE86102,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86102.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86102.hg19.frag.tsv
EE86103,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86103.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86103.hg19.frag.tsv
EE86104,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86104.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86104.hg19.frag.tsv
EE86105,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86105.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86105.hg19.frag.tsv
EE86106,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86106.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86106.hg19.frag.tsv
